gh_project_name,team,lang,sloc,tests_per_kloc,build_success
benjaminoakes/maid,3,ruby,2338,5.59832050384884,0.793036750483559
bensie/sshkey,3,ruby,237,191.304347826087,0.6294642857142857
Berico-Technologies/CLAVIN,8,java,4405,18.957345971564,0.5140845070422535
berkshelf/berkshelf-api,10,ruby,1279,78.239608801956,0.6127247579529738
berkshelf/vagrant-berkshelf,13,ruby,628,38.8349514563107,0.7564102564102564
bflad/chef-docker,8,ruby,6740,123.511904761905,0.6611295681063123
bikeindex/bike_index,5,ruby,13130,84.6952802810448,0.9042944785276074
binarylogic/authlogic,2,ruby,2817,76.2902019446522,0.9174041297935103
biojava/biojava,12,java,123537,6.21917741661201,0.8551068883610451
bitcoinj/bitcoinj,9,java,84921,8.85043141224248,0.9662921348314607
bitsofproof/supernode,2,java,19892,3.59983742669686,0.875
bkeepers/dotenv,2,ruby,270,225.563909774436,0.3225806451612903
bkeepers/qu,4,ruby,2179,103.982300884956,0.7962085308056872
blowmage/minitest-rails,5,ruby,751,199.733688415446,0.7310924369747899
bndtools/bnd,17,java,79335,0.273178431045211,0.8904347826086957
bndtools/bndtools,12,java,43197,0.0497104367061865,0.939209726443769
bogdan/datagrid,4,ruby,2301,96.045197740113,0.8250728862973761
bokmann/business_time,3,ruby,400,362.595419847328,0.9501466275659824
bokmann/font-awesome-rails,3,ruby,57,0,0.83625
BoltsFramework/Bolts-Android,5,java,1941,31.4270994332818,0.937984496124031
bostonrb/bostonrb,8,ruby,1207,34.2771982116244,0.44
boxen/boxen,2,ruby,1207,133.943427620632,0.8974358974358975
boxen/puppet-boxen,7,ruby,520,33.3333333333333,0.8428571428571429
boxen/puppet-osx,2,ruby,170,94.1176470588235,1
bploetz/versionist,2,ruby,764,243.90243902439,0.44664466446644663
brettwooldridge/HikariCP,10,java,6613,33.7826010852442,0.8998756218905473
brewster/elastictastic,6,ruby,2911,150.537634408602,0.2127659574468085
brianfrankcooper/YCSB,13,java,9826,1.69319336268202,0.9557522123893806
brianmario/mysql2,9,ruby,1559,232.58559622196,0.7257165605095541
brigade/overcommit,6,ruby,3559,69.9815837937385,0.8690744920993227
broadinstitute/picard,30,java,28642,18.3723266829338,0.9157792836398838
brooklyncentral/clocker,8,javascript,7711,4.91768227496258,0.8690095846645367
brooklynDev/airborne,9,ruby,436,226.506024096386,0.8640552995391705
browsermedia/browsercms,3,ruby,12551,32.3544051767048,0.06451612903225806
bruno-medeiros/DDT,2,java,66704,3.33102612908808,0.6278481012658228
bugsnag/bugsnag-android,8,java,2033,0,0.718978102189781
bugsnag/bugsnag-ruby,2,ruby,1914,71.969696969697,1
BuildCraft/BuildCraft,20,java,82680,1.03592485068614,0.5136319376825705
